
Frequency (Hz),S11_Real,S11_Imag,S12_Real,S12_Imag,S13_Real,S13_Imag,S14_Real,S14_Imag,S21_Real,S21_Imag,S22_Real,S22_Imag,S23_Real,S23_Imag,S24_Real,S24_Imag,S31_Real,S31_Imag,S32_Real,S32_Imag,S33_Real,S33_Imag,S34_Real,S34_Imag,S41_Real,S41_Imag,S42_Real,S42_Imag,S43_Real,S43_Imag,S44_Real,S44_Imag
2334000000.0,-0.0249478,-0.8652587,-0.3338469,-0.553405,0.3963017,-0.5013128,0.6198009,-0.05898473,-2.055963e-05,-2.714046e-06,0.1759458,-0.7225456,-0.2123583,-0.6145124,0.2881599,-0.5647477,0.1356275,0.5408399,-0.2734616,0.5165951,0.1638304,-0.6279734,-0.2704908,-0.4972781,0.4703705,0.3410175,0.1273822,0.5952786,-0.5470363,0.2529421,0.2817957,-0.6095442
2392000000.0,0.1010995,0.8564123,0.6509324,-0.1836177,0.2901016,0.6041965,-0.2370456,0.6033668,7.240716e-06,-9.370651e-07,0.7517679,0.153869,0.6757461,0.06632476,0.3993835,0.5216865,-0.573783,0.1121613,-0.514648,-0.3244618,0.6564521,0.1657092,0.5697331,-0.1245135,-0.370244,0.4822255,-0.6246987,0.1006422,-0.1166789,-0.6169421,0.642303,0.261288
2450000000.0,-0.210319,-0.8454148,0.01108952,0.6513357,-0.6504329,0.01888298,-0.4260421,-0.4563845,-8.796982e-06,4.708143e-06,-0.0888387,0.6972647,-0.3064455,0.5816886,-0.6130149,0.1492511,-0.07631308,-0.560044,0.3560213,-0.4653294,-0.1421567,0.578368,-0.03566478,0.567213,-0.4484813,-0.3707628,-0.05538363,-0.6008844,0.6068424,0.02573892,-0.2157211,0.5697764
2508000000.0,0.2699832,0.8116139,-0.5754215,-0.1914204,0.287688,-0.5376183,0.5722817,-0.1164463,1.789478e-05,7.995601e-06,-0.5099423,-0.2385379,-0.3460802,-0.5095816,0.1635187,-0.5675561,0.5333191,-0.01809854,0.3935525,0.3905314,-0.3281773,-0.306858,-0.4909873,-0.2097903,0.3833732,-0.390718,0.5690529,0.01190052,-0.1896626,0.5419863,-0.2973946,-0.352332
2566000000.0,-0.366589,-0.7888005,0.3803635,-0.4544936,0.2657693,0.5346845,-0.2448052,0.5202876,5.7182e-06,3.41428e-06,0.5043647,-0.1726504,0.6031813,-0.00719298,0.3674177,0.4504286,-0.02728515,0.5187114,-0.4207705,0.3429141,0.5141856,0.03003406,0.3725852,-0.3747686,0.3552662,0.4006629,-0.06106869,0.5560643,-0.441492,-0.353285,0.5143443,0.08863073
2624000000.0,0.4417711,0.7220029,0.2932246,0.5281019,-0.5966153,-0.1211949,-0.2556293,-0.529432,9.746231e-06,7.602893e-07,-0.1234018,0.6358089,-0.3555956,0.499998,-0.5925338,0.02025056,-0.5293788,-0.04425875,-0.3311355,-0.4470275,-0.268814,0.5975533,0.2246393,0.4951072,-0.413615,0.3625692,-0.5710133,-0.07478788,0.4881459,-0.3181802,-0.3394295,0.5708939
2682000000.0,-0.4856298,-0.7096101,-0.6134081,0.1006774,0.459604,-0.4239253,0.593858,0.1166636,-2.349016e-06,-2.409947e-05,-0.6367785,-0.3450386,-0.2187217,-0.5885454,0.3336703,-0.5080537,0.05829887,-0.5452073,0.4735871,-0.3241828,-0.5752757,-0.4281515,-0.5576883,0.04691527,-0.375147,-0.4255315,0.08352991,-0.5886962,0.1679581,0.5753731,-0.5366777,-0.4942657
2740000000.0,0.5814232,0.6398421,0.1086323,-0.6320108,0.1309268,0.6306056,-0.4267355,0.4546148,1.290665e-05,6.661935e-06,0.4858356,-0.5774307,0.6351488,0.1005014,0.2751424,0.5585722,0.5539695,0.1087382,0.2819267,0.5175697,0.5355482,-0.5046778,0.1413459,-0.5592097,0.4588563,-0.3590605,0.5942957,0.1296395,-0.612664,-0.003924223,0.5776847,-0.4724649
2798000000.0,-0.6403038,-0.5650566,0.5783817,0.3045027,-0.6350101,-0.1660547,-0.2136563,-0.5967273,1.035359e-05,2.811078e-06,0.5198214,0.5072537,-0.3682355,0.5380127,-0.6289929,0.001518669,-0.1864078,0.5425708,-0.5612934,0.202981,0.4353194,0.5537238,0.4922336,0.3094348,0.3044907,0.5032322,-0.2094266,0.5756839,0.1752237,-0.5947416,0.4227,0.5598069
2856000000.0,0.6686192,0.5113824,-0.4721383,0.4420486,0.4198124,-0.4936704,0.6186942,0.07919872,-2.460471e-05,2.013968e-05,-0.518171,0.3523748,-0.3297989,-0.5512747,0.2701946,-0.5564515,-0.4971977,-0.2742673,-0.08727042,-0.585183,-0.5575516,0.2513508,-0.448734,0.3569619,-0.535756,0.2173861,-0.5189444,-0.3063819,0.5047643,0.3363873,-0.5163637,0.2490203
