
Frequency (Hz),S11_Real,S11_Imag,S12_Real,S12_Imag,S13_Real,S13_Imag,S14_Real,S14_Imag,S21_Real,S21_Imag
4074000000.0,-0.1493299,0.7961044,-0.4551336,-1.234132,1.035233,-0.9523033,0.9603338,0.8468283,5.179055e-06,4.821244e-06
4132000000.0,-0.008116094,-0.8367295,1.346913,-0.06786908,0.4142976,1.367278,-1.231232,0.4705403,-1.940661e-06,4.447209e-06
4190000000.0,0.05054686,0.7959601,-0.3354727,1.364981,-1.437756,-0.2746615,0.1786268,-1.358045,-5.05756e-06,8.8983e-06
4248000000.0,-0.1099296,-0.8234549,-1.279884,-0.7034979,0.975846,-1.152174,1.125717,0.8580756,1.222468e-07,3.226742e-06
4306000000.0,0.2504007,0.7590703,1.004549,-1.066326,0.4746487,1.44328,-1.320981,0.4910232,8.369227e-06,5.056017e-06
4364000000.0,-0.2696312,-0.7576433,0.7432519,1.228953,-1.467528,-0.3485403,0.3057098,-1.35139,-1.13156e-05,1.001991e-06
4422000000.0,0.3397662,0.7546836,-1.366625,0.3468633,1.012829,-1.109116,0.9906623,0.9488246,-2.173694e-05,-8.18361e-06
4480000000.0,-0.4766559,-0.66207,0.07956613,-1.406834,0.5421466,1.418538,-1.320626,0.4303077,-3.66978e-06,-2.309091e-05
4538000000.0,0.4556439,0.6267639,1.356691,0.507873,-1.569252,-0.1314028,0.2080323,-1.433429,-1.03494e-05,-4.721246e-06
4596000000.0,-0.5464578,-0.6370289,-0.9018245,1.228097,0.8440542,-1.453396,1.278809,0.8565528,4.529395e-06,-8.288238e-06
4654000000.0,0.6688941,0.4782588,-1.035776,-1.185787,1.038269,1.438325,-1.355953,0.8462776,3.680014e-06,-8.670643e-06
4712000000.0,-0.6385182,-0.4814744,1.346177,-0.750614,-1.722172,0.3396371,-0.1864618,-1.539804,-4.905505e-07,2.47634e-05
4770000000.0,0.706873,0.4117215,0.3889802,1.385893,0.417275,-1.589642,1.349445,0.492098,3.386951e-05,-1.505711e-05
4828000000.0,-0.7496634,-0.2710586,-1.329888,-0.03882261,1.085538,1.053736,-1.01739,0.831937,4.750469e-06,1.920937e-06
4886000000.0,0.7394654,0.2903208,0.4468213,-1.196546,-1.408568,0.3585384,-0.142479,-1.249572,1.994676e-06,-2.623993e-06
4944000000.0,-0.8073701,-0.2014999,0.9664031,0.7921278,0.4632115,-1.346398,1.08451,0.5738649,1.048768e-06,-3.760764e-06
5002000000.0,0.7770589,0.07588968,-1.069952,0.6343855,0.8114144,1.167551,-1.106587,0.514101,1.394809e-05,-9.110378e-06
5060000000.0,-0.7876059,-0.0853598,-0.2852869,-1.235431,-1.462083,0.03680865,0.2028013,-1.231103,2.336936e-05,7.125136e-06
5118000000.0,0.8246416,-0.07410975,1.30861,0.1009845,0.7505044,-1.335957,0.9791259,0.8516778,-6.775229e-06,9.984168e-06
5176000000.0,-0.7627764,0.169487,-0.4736959,1.280319,0.9213263,1.343922,-1.262758,0.50583,1.597072e-07,-4.834729e-06
5234000000.0,0.7876949,-0.1351632,-1.138371,-0.789542,-1.650532,0.3328803,0.07135225,-1.372926,3.501949e-05,4.755775e-06
5292000000.0,-0.7516302,0.3146207,1.022351,-0.878792,0.3761813,-1.614436,1.148221,0.6692392,-1.884761e-05,8.580877e-07
5350000000.0,0.6756219,-0.3546129,0.5342332,1.165586,1.172877,1.052497,-1.104928,0.5925553,5.868542e-06,4.363255e-06
5408000000.0,-0.7303251,0.3381216,-1.215804,0.1632779,-1.433976,0.4684316,0.08915005,-1.194764,-1.546327e-05,-7.432051e-07
5466000000.0,0.6408783,-0.5103675,0.1979637,-1.162368,0.2401278,-1.425087,0.9550499,0.6449215,1.234934e-05,2.807953e-07
5524000000.0,-0.5483225,0.5336449,1.019609,0.5354043,1.122927,0.8298616,-1.002769,0.5263341,-2.308011e-07,7.911355e-06
5582000000.0,0.5728202,-0.5555153,-0.82401,0.8099198,-1.249595,0.6002603,0.004311974,-1.14296,2.424406e-05,-1.283572e-05
5640000000.0,-0.4877789,0.6569209,-0.5493428,-1.029542,0.1040336,-1.398782,0.9954597,0.5757008,3.722146e-06,8.90044e-06
5698000000.0,0.4089449,-0.666614,1.119572,-0.2485508,1.101337,0.8586853,-1.019051,0.4702486,1.834673e-06,-6.999226e-06
5756000000.0,-0.3930737,0.7089872,-0.09199639,1.078614,-1.288458,0.3230748,0.2887929,-1.017132,5.205011e-06,1.56332e-05
5814000000.0,0.2043527,-0.7499964,-0.9302117,-0.4322792,0.4615313,-1.175488,0.5906208,0.8212304,-4.89794e-06,1.537035e-05
5872000000.0,-0.2538266,0.7217346,0.6977882,-0.7015272,0.7896011,0.9233813,-0.978856,0.09209351,7.170566e-06,2.694089e-05
5930000000.0,0.1540093,-0.8117869,0.4187828,0.8718841,-1.137749,0.342949,0.3300425,-0.9086736,-1.608477e-05,7.278739e-06
