
Frequency (Hz),S11_Real,S11_Imag,S12_Real,S12_Imag
9736000000.0,0.7121517,-0.1481122,-3.946206e-05,0.0001203234
9814000000.0,-0.08739425,0.7226922,-4.526689e-05,9.636851e-06
9892000000.0,-0.6537154,-0.3084772,-5.5573e-05,2.93019e-05
9970000000.0,0.5367308,-0.4763689,-6.666639e-05,-2.09967e-05
10048000000.0,0.2775789,0.6749493,-7.494042e-05,1.273016e-05
10126000000.0,-0.7229322,0.06882758,2.914937e-05,2.185334e-05
10204000000.0,0.2056778,-0.6869198,1.199624e-05,3.556382e-05
10282000000.0,0.5702592,0.4475132,7.594245e-05,-7.702074e-06
10360000000.0,-0.5875165,0.4090722,-4.691493e-05,-4.295146e-05
10438000000.0,-0.1783291,-0.690519,-6.115543e-05,-4.516189e-05
10516000000.0,0.7136304,0.1050985,-2.770707e-05,0.0001558034
10594000000.0,-0.3168353,0.6405418,-4.232395e-05,6.475329e-05
10672000000.0,-0.5090697,-0.4967082,-3.17103e-05,6.028168e-05
10750000000.0,0.6671669,-0.2752862,3.717927e-05,1.036081e-05
10828000000.0,0.03296459,0.7222532,-3.188611e-05,0.0001033707
10906000000.0,-0.6894024,-0.1711781,9.331384e-05,1.776421e-05
10984000000.0,0.4333202,-0.5625556,-3.988638e-05,-2.328027e-06
11062000000.0,0.3759764,0.6057226,-1.348956e-05,-2.684745e-05
11140000000.0,-0.6875566,0.1737767,3.320463e-05,2.792009e-05
11218000000.0,0.08066586,-0.7067353,-8.994693e-06,-9.641571e-06
11296000000.0,0.6304442,0.3403611,2.465591e-07,-2.755148e-05
11374000000.0,-0.5122834,0.4914003,-1.75153e-05,-1.429861e-05
11452000000.0,-0.2906976,-0.6401648,-5.514469e-05,-5.777439e-05
11530000000.0,0.7041084,-0.01531903,-6.929296e-06,5.794414e-06
11608000000.0,-0.2012896,0.6760946,2.677887e-06,3.493814e-05
11686000000.0,-0.566556,-0.404109,-5.911949e-05,-6.402535e-05
11764000000.0,0.6092787,-0.3684848,2.011846e-05,3.267742e-05
11842000000.0,0.1672064,0.6883216,2.853986e-06,1.753983e-05
11920000000.0,-0.6946753,-0.06615293,1.936643e-06,-1.105558e-05
11998000000.0,0.3288257,-0.619335,-4.975812e-06,1.567225e-05
12076000000.0,0.4740257,0.5212688,2.142794e-05,-1.081167e-05
12154000000.0,-0.6223363,0.2776512,1.765251e-05,1.209588e-05
12232000000.0,-0.04953066,-0.6970143,8.114574e-06,-1.582838e-05
12310000000.0,0.6683513,0.2296192,3.19847e-05,-1.562821e-05
12388000000.0,-0.405772,0.5682719,-9.598648e-06,-7.995176e-06
12466000000.0,-0.374811,-0.5830275,4.834988e-06,1.454478e-05
12544000000.0,0.6901318,-0.1258619,4.77498e-05,-3.523987e-05
12622000000.0,-0.07440007,0.6833298,1.477456e-05,1.844307e-05
12700000000.0,-0.6231619,-0.2749698,3.592928e-05,-4.494906e-05
12778000000.0,0.5255526,-0.4497592,6.071326e-06,-6.246544e-07
12856000000.0,0.2754068,0.6419198,1.363348e-06,2.885911e-05
12934000000.0,-0.6798399,0.06084069,2.584451e-05,-1.782417e-05
13012000000.0,0.2162357,-0.6544117,-3.263709e-05,-1.057641e-05
13090000000.0,0.5440042,0.4287881,4.186062e-05,-4.027734e-05
13168000000.0,-0.5441548,0.4077484,4.076595e-05,1.098549e-05
13246000000.0,-0.161655,-0.6542468,2.17843e-05,-2.490637e-05
13324000000.0,0.6857018,0.08360178,6.560625e-05,-2.996878e-05
13402000000.0,-0.2610263,0.6288959,-1.01279e-06,-2.34664e-05
13480000000.0,-0.4993547,-0.448863,5.351174e-05,-6.282424e-05
13558000000.0,0.6196759,-0.2819155,-9.508724e-06,-2.705375e-05
13636000000.0,0.08127206,0.6826342,2.168761e-05,-4.040477e-06
13714000000.0,-0.6659493,-0.1029021,-1.677643e-06,7.494793e-05
13792000000.0,0.3712956,-0.556502,2.28641e-05,-3.403944e-05
13870000000.0,0.4141522,0.5396432,1.295155e-05,-3.366235e-05
13948000000.0,-0.6151068,0.2778858,3.235701e-05,-2.755064e-06
14026000000.0,-0.0183124,-0.6613902,-1.210902e-05,6.103935e-05
14104000000.0,0.6233724,0.2584223,2.861017e-05,1.666039e-05
14182000000.0,-0.4154358,0.5409345,1.061171e-05,3.528461e-05
14260000000.0,-0.3873813,-0.5381303,-2.183284e-05,5.042616e-05
14338000000.0,0.6560408,-0.1157129,1.628091e-05,-3.305653e-05
14416000000.0,-0.08379301,0.6762941,2.822312e-06,1.093719e-06
14494000000.0,-0.6251854,-0.2343751,4.271187e-05,2.247037e-05
